Month,Day,Low,High,NormalLow,NormalHigh,RecordLow,LowYr,RecordHigh,HiYear,Precip,RecordPrecip,PrecipYr,date,Record,RecordText,RecordP,CulmPrec,dateInYear,month_name
11,20,48,55,48,62,35,1964,69,2005,0.17,0.75,1961,2011-11-20,FALSE,NA,FALSE,1.42,324,Nov
6,16,52,68,53,70,46,1952,90,1961,0,0.35,1995,2011-06-16,FALSE,NA,FALSE,0.97,167,Jun
5,9,47,63,50,66,41,1950,88,1993,0,0.2,1980,2011-05-09,FALSE,NA,FALSE,0,129,May
10,26,47,69,52,69,39,1954,89,2003,0,1.2,2004,2011-10-26,FALSE,NA,FALSE,1.1800000000000002,299,Oct
9,27,55,82,55,73,47,1955,96,2010,0,0.81,1957,2011-09-27,FALSE,NA,FALSE,0.01,270,Sep
7,6,52,70,54,71,47,1953,86,1957,0,0,NA,2011-07-06,FALSE,NA,FALSE,0,187,Jul
11,3,48,60,51,66,40,1971,84,1945,0.02,0.88,1972,2011-11-03,FALSE,NA,FALSE,0.02,307,Nov
3,26,47,58,47,62,38,1980,79,1952,0.57,1.05,1985,2011-03-26,FALSE,NA,FALSE,5.680000000000001,85,Mar
10,4,57,66,55,72,47,1989,95,1987,0.26,0.33,1994,2011-10-04,FALSE,NA,FALSE,0.42,277,Oct
11,26,49,59,47,60,36,1952,76,1959,0,1.2,1997,2011-11-26,FALSE,NA,FALSE,1.5499999999999998,330,Nov
9,20,57,86,56,74,48,1965,93,1990,0,0.08,2005,2011-09-20,FALSE,NA,FALSE,0,263,Sep
11,25,48,57,47,60,36,1966,72,1975,0,1.43,1997,2011-11-25,FALSE,NA,FALSE,1.5499999999999998,329,Nov
3,20,47,57,47,61,38,1982,78,2004,0.07,1.51,1958,2011-03-20,FALSE,NA,FALSE,3.0500000000000003,79,Mar
8,1,56,69,56,72,48,1951,100,1993,0,0,NA,2011-08-01,FALSE,NA,FALSE,0,213,Aug
2,6,55,72,45,58,31,1989,72,2011,0,1.66,1998,2011-02-06,TRUE,"Record
 High: 72",FALSE,0,37,Feb
4,15,49,65,48,64,38,1975,83,1966,0,1.02,1978,2011-04-15,FALSE,NA,FALSE,0.19,105,Apr
8,5,55,71,56,72,49,1950,89,1964,0,0.01,2008,2011-08-05,FALSE,NA,FALSE,0,217,Aug
6,14,51,76,53,70,49,1982,106,1961,0,0.06,1995,2011-06-14,FALSE,NA,FALSE,0.97,165,Jun
10,17,56,79,53,70,42,1971,90,1988,0,0.18,2004,2011-10-17,FALSE,NA,FALSE,1.1800000000000002,290,Oct
3,30,51,75,47,63,38,1955,78,1950,0,1.14,1967,2011-03-30,FALSE,NA,FALSE,5.7,89,Mar
